k	Re[k]	Im[k]	ABS[k]
546	  -0.00021	  -0.00028	   0.00035
547	  -0.00284	   0.00172	   0.00332
548	   0.00087	   0.00123	   0.00151
549	   0.00509	   0.00186	   0.00542
550	   0.00003	  -0.00095	   0.00095
551	  -0.00003	  -0.00185	   0.00185
552	   0.00090	  -0.00057	   0.00107
553	   0.00029	  -0.00032	   0.00043
554	  -0.00097	  -0.00013	   0.00098
555	   0.00219	  -0.00583	   0.00623
556	   0.00126	   0.00049	   0.00135
557	  -0.00028	  -0.00018	   0.00033
558	   0.00151	  -0.00271	   0.00310
559	   0.00121	   0.00041	   0.00128
560	   0.00006	  -0.00037	   0.00038
561	   0.00003	  -0.00011	   0.00011
562	   0.00453	  -0.00509	   0.00681
563	   0.00021	  -0.00027	   0.00034
564	  -0.00066	   0.00037	   0.00076
565	   0.00083	   0.00052	   0.00098
566	  -0.00146	  -0.00615	   0.00632
567	  -0.00047	  -0.00193	   0.00198
568	   0.00026	  -0.00052	   0.00058
569	  -0.00027	   0.00038	   0.00047
570	  -0.00035	  -0.00085	   0.00092
571	   0.00088	   0.00020	   0.00091
572	   0.00093	   0.00653	   0.00660
573	  -0.00009	  -0.00181	   0.00181
574	   0.00071	   0.00972	   0.00975
575	   0.00184	   0.00963	   0.00981
576	   0.00029	  -0.00052	   0.00059
577	   0.00055	   0.00117	   0.00130
578	   0.00025	   0.00124	   0.00127
579	   0.00092	   0.00123	   0.00154
580	  -0.00210	  -0.00070	   0.00221
581	  -0.00041	   0.00125	   0.00131
582	  -0.00001	  -0.00056	   0.00056
583	  -0.00219	  -0.00042	   0.00223
584	  -0.00024	   0.00071	   0.00075
585	   0.00049	   0.00025	   0.00054
586	  -0.00172	   0.00265	   0.00316
587	  -0.00312	  -0.00231	   0.00388
588	  -0.00025	   0.00015	   0.00029
589	  -0.00011	   0.00022	   0.00025
590	   0.00010	  -0.00021	   0.00023
591	  -0.00082	   0.00034	   0.00089
592	  -0.00005	  -0.00046	   0.00046
593	  -0.00011	  -0.00095	   0.00095
594	   0.00046	   0.00039	   0.00060
595	   0.00084	   0.00030	   0.00089
596	  -0.00613	   0.00249	   0.00662
597	  -0.00200	   0.00174	   0.00265
598	  -0.00044	  -0.00031	   0.00054
599	   0.00035	  -0.00056	   0.00066
600	  -0.00197	   0.00430	   0.00473
601	   0.00051	   0.00046	   0.00069
602	  -0.00048	   0.00052	   0.00070
603	   0.00023	  -0.00005	   0.00024
604	   0.00296	  -0.00243	   0.00383
605	  -0.00212	   0.00106	   0.00236
606	   0.00512	  -0.00293	   0.00590
607	  -0.00013	   0.00034	   0.00036
608	   0.00031	   0.00043	   0.00053
609	   0.00067	  -0.00020	   0.00070
610	  -0.00483	   0.00220	   0.00531
611	   0.00031	  -0.00038	   0.00049
612	  -0.00029	  -0.00008	   0.00030
613	  -0.00014	   0.00026	   0.00030
614	  -0.00021	  -0.00006	   0.00022
615	   0.00023	   0.00016	   0.00028
616	   0.00122	  -0.00212	   0.00244
617	   0.00010	   0.00046	   0.00047
618	   0.00018	   0.00024	   0.00030
619	  -0.00083	   0.00162	   0.00182
620	   0.00012	  -0.00100	   0.00100
621	   0.00000	  -0.00221	   0.00221
622	  -0.00121	   0.00021	   0.00123
623	  -0.00179	   0.00078	   0.00195
624	  -0.00017	  -0.00035	   0.00039
625	   0.00127	  -0.00140	   0.00189
626	  -0.00017	  -0.00008	   0.00019
627	   0.00071	  -0.00112	   0.00132
628	   0.00015	  -0.00025	   0.00029
629	  -0.00184	  -0.00095	   0.00207
630	  -0.00001	   0.00029	   0.00029
631	   0.00339	   0.00143	   0.00368
